date,time,x,y
2/9/17,01:05.497635+00:00,319573,390146
2/9/17,01:05.531022+00:00,326231,387483
2/9/17,01:05.564408+00:00,332889,392809
2/9/17,01:05.597794+00:00,328894,384820
2/9/17,01:05.631181+00:00,330226,382157
2/9/17,01:05.664567+00:00,331557,382157
2/9/17,01:05.697953+00:00,330226,382157
2/9/17,01:05.731340+00:00,328894,383488
2/9/17,01:05.764726+00:00,327563,384820
2/9/17,01:05.798112+00:00,327563,384820
2/9/17,01:05.831499+00:00,327563,384820
2/9/17,01:05.864885+00:00,327563,384820
2/9/17,01:05.898271+00:00,328894,384820
2/9/17,01:05.931658+00:00,330226,384820
2/9/17,01:05.965044+00:00,330226,383488
2/9/17,01:05.998430+00:00,327563,386151
2/9/17,01:06.031817+00:00,328894,396804
2/9/17,01:06.065203+00:00,328894,398135
2/9/17,01:06.098589+00:00,327563,399467
2/9/17,01:06.131976+00:00,328894,399467
2/9/17,01:06.165362+00:00,330226,398135
2/9/17,01:06.198748+00:00,331557,396804
2/9/17,01:06.232135+00:00,336884,391478
2/9/17,01:06.265521+00:00,340878,388814
2/9/17,01:06.298907+00:00,346205,384820
2/9/17,01:06.332294+00:00,350199,382157
2/9/17,01:06.365680+00:00,355525,379494
2/9/17,01:06.399066+00:00,360852,376830
2/9/17,01:06.432453+00:00,363515,374167
2/9/17,01:06.465839+00:00,362183,372836
2/9/17,01:06.499225+00:00,360852,372836
2/9/17,01:06.532612+00:00,362183,370173
2/9/17,01:06.565998+00:00,363515,367509
2/9/17,01:06.599384+00:00,364846,366178
2/9/17,01:06.632771+00:00,366178,364846
2/9/17,01:06.666157+00:00,367509,362183
2/9/17,01:06.699543+00:00,368841,360852
2/9/17,01:06.732930+00:00,370173,359520
2/9/17,01:06.766316+00:00,368841,359520
2/9/17,01:06.799702+00:00,367509,362183
2/9/17,01:06.833089+00:00,364846,364846
2/9/17,01:06.866475+00:00,362183,367509
2/9/17,01:06.899861+00:00,360852,367509
2/9/17,01:06.933248+00:00,359520,364846
2/9/17,01:06.966634+00:00,356857,360852
2/9/17,01:07.000020+00:00,360852,355525
2/9/17,01:07.033407+00:00,368841,351531
2/9/17,01:07.066793+00:00,370173,348868
2/9/17,01:07.100179+00:00,371504,344873
2/9/17,01:07.133566+00:00,370173,342210
2/9/17,01:07.166952+00:00,368841,342210
2/9/17,01:07.200338+00:00,366178,342210
