time,x,y
2017-02-02T17:42:23.090858+00:00,752496,545649
2017-02-02T17:42:23.124578+00:00,752496,549215
2017-02-02T17:42:23.158298+00:00,754279,550998
2017-02-02T17:42:23.192018+00:00,756062,556348
2017-02-02T17:42:23.225738+00:00,759629,559914
2017-02-02T17:42:23.259458+00:00,761412,561697
2017-02-02T17:42:23.293178+00:00,763195,565263
2017-02-02T17:42:23.326898+00:00,756062,563480
2017-02-02T17:42:23.360618+00:00,757845,567047
2017-02-02T17:42:23.394338+00:00,759629,572396
2017-02-02T17:42:23.428058+00:00,759629,577746
2017-02-02T17:42:23.461778+00:00,759629,579529
2017-02-02T17:42:23.495498+00:00,761412,584878
2017-02-02T17:42:23.529218+00:00,761412,588445
2017-02-02T17:42:23.562937+00:00,763195,593794
2017-02-02T17:42:23.596657+00:00,763195,599144
2017-02-02T17:42:23.630377+00:00,764978,604493
2017-02-02T17:42:23.664097+00:00,766761,608059
2017-02-02T17:42:23.697817+00:00,768544,613409
2017-02-02T17:42:23.731537+00:00,773894,616975
2017-02-02T17:42:23.765257+00:00,773894,620542
2017-02-02T17:42:23.798977+00:00,770328,620542
2017-02-02T17:42:23.832697+00:00,768544,624108
2017-02-02T17:42:23.866417+00:00,766761,624108
2017-02-02T17:42:23.900137+00:00,766761,625891
2017-02-02T17:42:23.933857+00:00,764978,625891
2017-02-02T17:42:23.967577+00:00,764978,627674
2017-02-02T17:42:24.001297+00:00,763195,629457
2017-02-02T17:42:24.035017+00:00,763195,631241
2017-02-02T17:42:24.068737+00:00,764978,636590
2017-02-02T17:42:24.102456+00:00,764978,640156
2017-02-02T17:42:24.136176+00:00,764978,643723
2017-02-02T17:42:24.169896+00:00,766761,647289
2017-02-02T17:42:24.203616+00:00,766761,650855
2017-02-02T17:42:24.237336+00:00,766761,650855
2017-02-02T17:42:24.271056+00:00,764978,654422
2017-02-02T17:42:24.304776+00:00,764978,654422
2017-02-02T17:42:24.338496+00:00,764978,656205
2017-02-02T17:42:24.372216+00:00,764978,656205
2017-02-02T17:42:24.405936+00:00,764978,656205
2017-02-02T17:42:24.439656+00:00,763195,656205
2017-02-02T17:42:24.473376+00:00,763195,657988
2017-02-02T17:42:24.507096+00:00,763195,659771
2017-02-02T17:42:24.540816+00:00,763195,659771
2017-02-02T17:42:24.574536+00:00,761412,663338
2017-02-02T17:42:24.608256+00:00,761412,663338
2017-02-02T17:42:24.641976+00:00,761412,665121
2017-02-02T17:42:24.675695+00:00,761412,668687
2017-02-02T17:42:24.709415+00:00,761412,670470
2017-02-02T17:42:24.743135+00:00,761412,682952
2017-02-02T17:42:24.776855+00:00,761412,684736
2017-02-02T17:42:24.810575+00:00,759629,686519
2017-02-02T17:42:24.844295+00:00,761412,684736
2017-02-02T17:42:24.878015+00:00,763195,682952
2017-02-02T17:42:24.911735+00:00,764978,668687
2017-02-02T17:42:24.945455+00:00,764978,665121
2017-02-02T17:42:24.979175+00:00,766761,665121
2017-02-02T17:42:25.012895+00:00,766761,665121
2017-02-02T17:42:25.046615+00:00,768544,666904
2017-02-02T17:42:25.080335+00:00,770328,670470
2017-02-02T17:42:25.114055+00:00,770328,672253
2017-02-02T17:42:25.147775+00:00,772111,674037
2017-02-02T17:42:25.181495+00:00,775677,688302
2017-02-02T17:42:25.215214+00:00,777460,690085
2017-02-02T17:42:25.248934+00:00,777460,691868
2017-02-02T17:42:25.282654+00:00,777460,691868
2017-02-02T17:42:25.316374+00:00,777460,690085
2017-02-02T17:42:25.350094+00:00,773894,675820
2017-02-02T17:42:25.383814+00:00,773894,675820
2017-02-02T17:42:25.417534+00:00,772111,674037
2017-02-02T17:42:25.451254+00:00,772111,674037
2017-02-02T17:42:25.484974+00:00,772111,672253
2017-02-02T17:42:25.518694+00:00,772111,674037
2017-02-02T17:42:25.552414+00:00,772111,672253
2017-02-02T17:42:25.586134+00:00,772111,670470
2017-02-02T17:42:25.619854+00:00,770328,672253
2017-02-02T17:42:25.653574+00:00,772111,674037
2017-02-02T17:42:25.687294+00:00,772111,674037
2017-02-02T17:42:25.721014+00:00,772111,674037
2017-02-02T17:42:25.754734+00:00,775677,690085
2017-02-02T17:42:25.788453+00:00,772111,675820
2017-02-02T17:42:25.822173+00:00,770328,674037
2017-02-02T17:42:25.855893+00:00,766761,668687
2017-02-02T17:42:25.889613+00:00,764978,663338
2017-02-02T17:42:25.923333+00:00,763195,659771
2017-02-02T17:42:25.957053+00:00,763195,659771
2017-02-02T17:42:25.990773+00:00,763195,661554
2017-02-02T17:42:26.024493+00:00,764978,663338
2017-02-02T17:42:26.058213+00:00,764978,665121
2017-02-02T17:42:26.091933+00:00,766761,666904
2017-02-02T17:42:26.125653+00:00,766761,668687
2017-02-02T17:42:26.159373+00:00,766761,668687
2017-02-02T17:42:26.193093+00:00,768544,670470
2017-02-02T17:42:26.226813+00:00,770328,674037
2017-02-02T17:42:26.260533+00:00,773894,688302
2017-02-02T17:42:26.294253+00:00,775677,690085
2017-02-02T17:42:26.327972+00:00,773894,688302
2017-02-02T17:42:26.361692+00:00,768544,672253
2017-02-02T17:42:26.395412+00:00,766761,670470
2017-02-02T17:42:26.429132+00:00,763195,666904
2017-02-02T17:42:26.462852+00:00,763195,666904
2017-02-02T17:42:26.496572+00:00,761412,666904
2017-02-02T17:42:26.530292+00:00,759629,668687
2017-02-02T17:42:26.564012+00:00,759629,670470
2017-02-02T17:42:26.597732+00:00,757845,672253
2017-02-02T17:42:26.631452+00:00,756062,674037
2017-02-02T17:42:26.665172+00:00,754279,677603
2017-02-02T17:42:26.698892+00:00,752496,681169
2017-02-02T17:42:26.732612+00:00,750713,682952
2017-02-02T17:42:26.766332+00:00,747146,686519
2017-02-02T17:42:26.800052+00:00,741797,690085
2017-02-02T17:42:26.833772+00:00,732881,707917
2017-02-02T17:42:26.867491+00:00,729315,713266
2017-02-02T17:42:26.901211+00:00,725748,716833
2017-02-02T17:42:26.934931+00:00,723965,718616
2017-02-02T17:42:26.968651+00:00,716833,720399
2017-02-02T17:42:27.002371+00:00,711483,722182
2017-02-02T17:42:27.036091+00:00,704350,723965
2017-02-02T17:42:27.069811+00:00,699001,725748
2017-02-02T17:42:27.103531+00:00,699001,713266
2017-02-02T17:42:27.137251+00:00,688302,729315
2017-02-02T17:42:27.170971+00:00,682952,731098
2017-02-02T17:42:27.204691+00:00,679386,732881
2017-02-02T17:42:27.238411+00:00,675820,734664
2017-02-02T17:42:27.272131+00:00,672253,734664
2017-02-02T17:42:27.305851+00:00,668687,736447
2017-02-02T17:42:27.339571+00:00,661554,736447
2017-02-02T17:42:27.373291+00:00,656205,736447
2017-02-02T17:42:27.407011+00:00,649072,736447
2017-02-02T17:42:27.440730+00:00,641940,736447
2017-02-02T17:42:27.474450+00:00,636590,738231
2017-02-02T17:42:27.508170+00:00,633024,738231
2017-02-02T17:42:27.541890+00:00,631241,740014
2017-02-02T17:42:27.575610+00:00,622325,740014
2017-02-02T17:42:27.609330+00:00,620542,743580
2017-02-02T17:42:27.643050+00:00,616975,743580
2017-02-02T17:42:27.676770+00:00,611626,743580
2017-02-02T17:42:27.710490+00:00,608059,741797
2017-02-02T17:42:27.744210+00:00,604493,740014
2017-02-02T17:42:27.777930+00:00,606276,740014
2017-02-02T17:42:27.811650+00:00,606276,738231
2017-02-02T17:42:27.845370+00:00,602710,738231
2017-02-02T17:42:27.879090+00:00,604493,738231
2017-02-02T17:42:27.912810+00:00,604493,738231
2017-02-02T17:42:27.946530+00:00,602710,736447
2017-02-02T17:42:27.980249+00:00,602710,736447
2017-02-02T17:42:28.013969+00:00,602710,734664
2017-02-02T17:42:28.047689+00:00,602710,736447
2017-02-02T17:42:28.081409+00:00,602710,736447
2017-02-02T17:42:28.115129+00:00,602710,736447
2017-02-02T17:42:28.148849+00:00,600927,734664
2017-02-02T17:42:28.182569+00:00,600927,734664
2017-02-02T17:42:28.216289+00:00,599144,734664
2017-02-02T17:42:28.250009+00:00,597360,734664
2017-02-02T17:42:28.283729+00:00,592011,736447
2017-02-02T17:42:28.317449+00:00,592011,736447
2017-02-02T17:42:28.351169+00:00,590228,738231
2017-02-02T17:42:28.384889+00:00,583095,736447
2017-02-02T17:42:28.418609+00:00,579529,738231
2017-02-02T17:42:28.452329+00:00,577746,738231
2017-02-02T17:42:28.486049+00:00,575962,740014
2017-02-02T17:42:28.519769+00:00,570613,741797
2017-02-02T17:42:28.553488+00:00,563480,741797
2017-02-02T17:42:28.587208+00:00,554564,738231
2017-02-02T17:42:28.620928+00:00,554564,740014
2017-02-02T17:42:28.654648+00:00,552781,740014
2017-02-02T17:42:28.688368+00:00,550998,740014
2017-02-02T17:42:28.722088+00:00,540299,738231
2017-02-02T17:42:28.755808+00:00,538516,740014
2017-02-02T17:42:28.789528+00:00,534950,740014
2017-02-02T17:42:28.823248+00:00,534950,743580
2017-02-02T17:42:28.856968+00:00,531383,743580
2017-02-02T17:42:28.890688+00:00,529600,745363
2017-02-02T17:42:28.924408+00:00,524251,743580
2017-02-02T17:42:28.958128+00:00,518901,741797
2017-02-02T17:42:28.991848+00:00,515335,740014
2017-02-02T17:42:29.025568+00:00,513552,740014
2017-02-02T17:42:29.059288+00:00,511768,740014
2017-02-02T17:42:29.093007+00:00,509985,740014
2017-02-02T17:42:29.126727+00:00,508202,740014
2017-02-02T17:42:29.160447+00:00,509985,740014
2017-02-02T17:42:29.194167+00:00,509985,741797
2017-02-02T17:42:29.227887+00:00,508202,741797
2017-02-02T17:42:29.261607+00:00,508202,741797
2017-02-02T17:42:29.295327+00:00,506419,740014
2017-02-02T17:42:29.329047+00:00,504636,740014
2017-02-02T17:42:29.362767+00:00,502853,740014
2017-02-02T17:42:29.396487+00:00,502853,741797
2017-02-02T17:42:29.430207+00:00,502853,741797
2017-02-02T17:42:29.463927+00:00,502853,741797
2017-02-02T17:42:29.497647+00:00,502853,743580
2017-02-02T17:42:29.531367+00:00,499286,743580
2017-02-02T17:42:29.565087+00:00,497503,743580
2017-02-02T17:42:29.598807+00:00,497503,745363
2017-02-02T17:42:29.632526+00:00,497503,745363
2017-02-02T17:42:29.666246+00:00,495720,745363
2017-02-02T17:42:29.699966+00:00,493937,745363
2017-02-02T17:42:29.733686+00:00,495720,745363
2017-02-02T17:42:29.767406+00:00,493937,745363
2017-02-02T17:42:29.801126+00:00,492154,747146
2017-02-02T17:42:29.834846+00:00,486804,745363
2017-02-02T17:42:29.868566+00:00,490370,747146
2017-02-02T17:42:29.902286+00:00,492154,747146
2017-02-02T17:42:29.936006+00:00,490370,747146
2017-02-02T17:42:29.969726+00:00,492154,747146
2017-02-02T17:42:30.003446+00:00,493937,747146
2017-02-02T17:42:30.037166+00:00,495720,747146
2017-02-02T17:42:30.070886+00:00,497503,747146
2017-02-02T17:42:30.104606+00:00,502853,747146
2017-02-02T17:42:30.138326+00:00,508202,745363
